feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,clor_val
0.18063024,0.17889504,0.18940344,0.1794089,0.1843234,0.16540256,0.17555802,0.17493382,0.17555802
0.1794089,0.17555802,0.1843234,0.16540256,0.17493382,0.17190814,0.16753308,0.18824095,0.17555802
0.16540256,0.17555802,0.17493382,0.17190814,0.18824095,0.18130831,0.18191378,0.18191378,0.16753308
0.17190814,0.16753308,0.18824095,0.18130831,0.18191378,0.17932586,0.19200704,0.19200704,0.18191378
0.18130831,0.18191378,0.18191378,0.17932586,0.19200704,0.17870197,0.17870197,0.17967229,0.19200704
0.17932586,0.19200704,0.19200704,0.17870197,0.17967229,0.17412078,0.17829113,0.17976622,0.17870197
0.17870197,0.17870197,0.17967229,0.17412078,0.17976622,0.17217317,0.1699765,0.18617359,0.17829113
0.17412078,0.17829113,0.17976622,0.17217317,0.18617359,0.16947073,0.16838428,0.18085203,0.1699765
0.17217317,0.1699765,0.18617359,0.16947073,0.18085203,0.173955,0.1802205,0.18173851,0.16838428
0.16947073,0.16838428,0.18085203,0.173955,0.18173851,0.16968396,0.17673558,0.17945337,0.1802205
0.173955,0.1802205,0.18173851,0.16968396,0.17945337,0.1742165,0.1766668,0.16868761,0.17673558
0.16968396,0.17673558,0.17945337,0.1742165,0.16868761,0.16562593,0.17562355,0.17506842,0.1766668
0.1742165,0.1766668,0.16868761,0.16562593,0.17506842,0.16407594,0.17563774,0.17645085,0.17562355
0.16562593,0.17562355,0.17506842,0.16407594,0.17645085,0.1667034,0.16936067,0.1712016,0.17563774
0.16407594,0.17563774,0.17645085,0.1667034,0.1712016,0.16308409,0.17153654,0.17153654,0.16936067
0.1667034,0.16936067,0.1712016,0.16308409,0.17153654,0.15682869,0.15682869,0.1560802,0.17153654
0.16308409,0.17153654,0.17153654,0.15682869,0.1560802,0.15229745,0.14723279,0.16132428,0.15682869
0.15682869,0.15682869,0.1560802,0.15229745,0.16132428,0.15001908,0.15698434,0.16648975,0.14723279
